,timestamp,temperature,description,daylength
0,2020-12-01,4.2,Passing clouds,8.1725
1,2020-12-02,4.8,Passing clouds,8.139999999999999
2,2020-12-03,5.1,Overcast,8.109166666666667
3,2020-12-04,4.1,Clear,8.079722222222221
4,2020-12-05,5.0,Passing clouds,8.051666666666668
5,2020-12-06,2.2,Passing clouds,8.025
6,2020-12-07,0.9,Fog,8.000277777777777
7,2020-12-08,1.3,Fog,7.976944444444444
8,2020-12-09,5.4,Clear,7.955
9,2020-12-10,6.9,Passing clouds,7.935
10,2020-12-11,8.6,Fog,7.916666666666667
11,2020-12-12,7.1,Partly sunny,7.899722222222222
12,2020-12-13,7.3,Passing clouds,7.884722222222222
13,2020-12-14,10.4,Passing clouds,7.871388888888889
14,2020-12-15,9.0,Passing clouds,7.859999999999999
15,2020-12-16,9.0,Passing clouds,7.8502777777777775
16,2020-12-17,9.2,Passing clouds,7.842222222222221
17,2020-12-18,11.2,Low clouds,7.836111111111111
18,2020-12-19,10.0,Passing clouds,7.831666666666666
19,2020-12-20,7.6,Passing clouds,7.829166666666667
20,2020-12-21,11.4,Passing clouds,7.828333333333333
21,2020-12-22,10.6,Partly sunny,7.829444444444444
22,2020-12-23,11.1,Partly sunny,7.832222222222222
23,2020-12-24,4.3,Passing clouds,7.836944444444444
24,2020-12-25,1.6,Passing clouds,7.843333333333333
25,2020-12-26,6.6,Partly cloudy,7.851666666666667
26,2020-12-27,5.3,Passing clouds,7.861944444444444
27,2020-12-28,0.8,Passing clouds,7.873611111111112
28,2020-12-29,2.3,Low clouds,7.887222222222221
29,2020-12-30,1.2,Passing clouds,7.902500000000001
30,2020-12-31,-0.4,Low clouds,7.919722222222222
31,2021-01-01,1.5,Low clouds,7.938611111111111
32,2021-01-02,3.0,Partly sunny,7.958888888888889
33,2021-01-03,3.7,Passing clouds,7.981111111111111
34,2021-01-04,3.9,Partly cloudy,8.004722222222222
35,2021-01-05,3.4,Passing clouds,8.030000000000001
36,2021-01-06,3.0,Passing clouds,8.056944444444445
37,2021-01-07,0.2,Passing clouds,8.085555555555556
38,2021-01-08,0.5,Low clouds,8.115555555555556
39,2021-01-09,-0.2,Ice fog,8.146944444444443
40,2021-01-10,1.1,Ice fog,8.18
41,2021-01-11,7.0,Partly sunny,8.214166666666666
42,2021-01-12,5.5,Clear,8.25
43,2021-01-13,6.5,Drizzle. Low clouds,8.286944444444444
44,2021-01-14,5.2,Passing clouds,8.325277777777778
45,2021-01-15,1.2,Passing clouds,8.365
46,2021-01-16,5.4,Overcast,8.405833333333334
47,2021-01-17,5.3,Passing clouds,8.447777777777778
48,2021-01-18,5.5,Passing clouds,8.49111111111111
49,2021-01-19,10.5,Passing clouds,8.535277777777777
50,2021-01-20,9.7,Passing clouds,8.580833333333333
51,2021-01-21,6.1,Passing clouds,8.627222222222223
52,2021-01-22,3.7,Sunny,8.674722222222222
53,2021-01-23,0.9,Clear,8.723055555555556
54,2021-01-24,-0.4,Passing clouds,8.7725
55,2021-01-25,0.8,Clear,8.8225
56,2021-01-26,2.9,Overcast,8.873888888888889
57,2021-01-27,8.6,Fog,8.925833333333333
58,2021-01-28,11.2,Partly sunny,8.978333333333333
59,2021-01-29,9.3,Passing clouds,9.031944444444443
60,2021-01-30,4.4,Passing clouds,9.086111111111112
61,2021-01-31,2.5,Sunny,9.14111111111111
62,2021-02-01,3.4,Overcast,9.196666666666667
63,2021-02-02,9.7,Partly cloudy,9.253055555555555
64,2021-02-03,8.5,Partly sunny,9.31
65,2021-02-04,6.6,Clear,9.367222222222225
66,2021-02-05,7.4,Passing clouds,9.425277777777778
67,2021-02-06,6.0,Partly sunny,9.483888888888888
68,2021-02-07,1.6,Passing clouds,9.543055555555556
69,2021-02-08,-1.2,Light snow. Partly sunny,9.6025
70,2021-02-09,-0.4,Passing clouds,9.6625
71,2021-02-10,-0.1,Passing clouds,9.723055555555556
72,2021-02-11,-0.7,Partly sunny,9.783888888888889
73,2021-02-12,-0.3,Overcast,9.845277777777778
74,2021-02-13,-0.5,Sunny,9.906944444444443
75,2021-02-14,2.9,Passing clouds,9.96888888888889
76,2021-02-15,9.1,Partly sunny,10.031111111111112
77,2021-02-16,9.4,Passing clouds,10.093611111111112
78,2021-02-17,9.6,Passing clouds,10.156666666666666
79,2021-02-18,8.1,Passing clouds,10.219722222222222
80,2021-02-19,8.7,Passing clouds,10.283333333333331
81,2021-02-20,12.9,Sunny,10.346944444444444
82,2021-02-21,11.4,Partly sunny,10.410833333333334
83,2021-02-22,8.7,Passing clouds,10.475
84,2021-02-23,10.8,Sunny,10.539166666666668
85,2021-02-24,13.3,Partly sunny,10.60388888888889
86,2021-02-25,9.0,Clear,10.668333333333331
87,2021-02-26,5.8,Passing clouds,10.733333333333333
88,2021-02-27,7.0,Passing clouds,10.798333333333334
89,2021-02-28,5.3,Clear,10.863333333333332
